sample-id	sample	donor	fiber	rep
629-049-1-E01	629_049	1	AX	1
629-061-1-F01	629_061	1	AX	2
629-050-1-E02	629_050	2	AX	1
629-062-1-F02	629_062	2	AX	2
629-051-1-E03	629_051	3	AX	1
629-063-1-F03	629_063	3	AX	2
629-052-1-E04	629_052	4	AX	1
629-064-1-F04	629_064	4	AX	2
629-053-1-E05	629_053	5	AX	1
629-065-1-F05	629_065	5	AX	2
629-054-1-E06	629_054	6	AX	1
629-066-1-F06	629_066	6	AX	2
629-055-1-E07	629_055	7	AX	1
629-067-1-F07	629_067	7	AX	2
629-056-1-E08	629_056	8	AX	1
629-068-1-F08	629_068	8	AX	2
629-057-1-E09	629_057	9	AX	1
629-069-1-F09	629_069	9	AX	2
629-058-1-E10	629_058	10	AX	1
629-070-1-F10	629_070	10	AX	3
629-268-3-G04	629_268	10	AX	2
629-272-3-G08	629_272	10	AX	4
629-059-1-E11	629_059	Pool	AX	1
629-071-1-F11	629_071	Pool	AX	2
629-073-1-G01	629_073	1	AXOS	1
629-085-1-H01	629_085	1	AXOS	2
629-074-1-G02	629_074	2	AXOS	1
629-086-1-H02	629_086	2	AXOS	2
629-075-1-G03	629_075	3	AXOS	1
629-087-1-H03	629_087	3	AXOS	2
629-076-1-G04	629_076	4	AXOS	1
629-088-1-H04	629_088	4	AXOS	2
629-077-1-G05	629_077	5	AXOS	1
629-089-1-H05	629_089	5	AXOS	2
629-078-1-G06	629_078	6	AXOS	1
629-090-1-H06	629_090	6	AXOS	2
629-079-1-G07	629_079	7	AXOS	1
629-091-1-H07	629_091	7	AXOS	2
629-080-1-G08	629_080	8	AXOS	1
629-092-1-H08	629_092	8	AXOS	2
629-081-1-G09	629_081	9	AXOS	1
629-093-1-H09	629_093	9	AXOS	2
629-082-1-G10	629_082	10	AXOS	1
629-094-1-H10	629_094	10	AXOS	2
629-083-1-G11	629_083	Pool	AXOS	1
629-095-1-H11	629_095	Pool	AXOS	2
630-529-6-E01	630_529	1	BLANK	1
630-541-6-F01	630_541	1	BLANK	2
630-553-6-G01	630_553	1	BLANK	3
630-364-4-G04	630_364	2	BLANK	3
630-365-4-G05	630_365	2	BLANK	2
630-530-6-E02	630_530	2	BLANK	4
630-542-6-F02	630_542	2	BLANK	1
630-531-6-E03	630_531	3	BLANK	1
630-543-6-F03	630_543	3	BLANK	2
630-555-6-G03	630_555	3	BLANK	3
630-532-6-E04	630_532	4	BLANK	1
630-544-6-F04	630_544	4	BLANK	2
630-556-6-G04	630_556	4	BLANK	3
630-363-4-G03	630_363	5	BLANK	1
630-366-4-G06	630_366	5	BLANK	3
630-533-6-E05	630_533	5	BLANK	2
630-545-6-F05	630_545	5	BLANK	4
630-557-6-G05	630_557	5	BLANK	5
630-534-6-E06	630_534	6	BLANK	1
630-546-6-F06	630_546	6	BLANK	2
630-558-6-G06	630_558	6	BLANK	3
630-535-6-E07	630_535	7	BLANK	1
630-547-6-F07	630_547	7	BLANK	2
630-559-6-G07	630_559	7	BLANK	3
630-536-6-E08	630_536	8	BLANK	1
630-548-6-F08	630_548	8	BLANK	2
630-560-6-G08	630_560	8	BLANK	3
630-537-6-E09	630_537	9	BLANK	1
630-549-6-F09	630_549	9	BLANK	2
630-561-6-G09	630_561	9	BLANK	3
630-538-6-E10	630_538	10	BLANK	1
630-550-6-F10	630_550	10	BLANK	2
630-562-6-G10	630_562	10	BLANK	3
630-539-6-E11	630_539	Pool	BLANK	1
630-551-6-F11	630_551	Pool	BLANK	2
630-563-6-G11	630_563	Pool	BLANK	3
629-001-1-A01	629_001	1	BRS	1
629-013-1-B01	629_013	1	BRS	2
629-002-1-A02	629_002	2	BRS	1
629-014-1-B02	629_014	2	BRS	2
629-003-1-A03	629_003	3	BRS	1
629-015-1-B03	629_015	3	BRS	2
629-004-1-A04	629_004	4	BRS	3
629-016-1-B04	629_016	4	BRS	2
629-096-1-H12	629_096	4	BRS	1
629-005-1-A05	629_005	5	BRS	1
629-017-1-B05	629_017	5	BRS	2
629-006-1-A06	629_006	6	BRS	1
629-018-1-B06	629_018	6	BRS	2
629-007-1-A07	629_007	7	BRS	1
629-019-1-B07	629_019	7	BRS	2
629-008-1-A08	629_008	8	BRS	1
629-020-1-B08	629_020	8	BRS	2
629-009-1-A09	629_009	9	BRS	1
629-021-1-B09	629_021	9	BRS	2
629-010-1-A10	629_010	10	BRS	1
629-022-1-B10	629_022	10	BRS	2
